track_name,popularity,artists_names,artist_genres,danceability,energy
Foe Tha Love of $,68,Bone Thugs-N-Harmony;Eazy-E,gangster rap;hardcore hip hop;hip hop;ohio hip hop;rap,0.772,0.695
Wildflowers,71,Tom Petty,album rock;classic rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,0.537,0.315
Juicy - 2005 Remaster,79,The Notorious B.I.G.,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.889,0.818
Shine,72,Collective Soul,alternative rock;grunge;pop rock;post-grunge;rock,0.543,0.423
Dust On The Bottle,74,David Lee Murphy,contemporary country;country;country road,0.736,0.614
"I Just Can't Wait to Be King - From ""The Lion King"" Soundtrack",71,Jason Weaver;Rowan Atkinson;Laura Williams,movie tunes,0.689,0.533
You Don't Know How It Feels,67,Tom Petty,album rock;classic rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,0.765,0.502
El Chico Del Apartamento 512,72,Selena,mexican pop;tejano,0.762,0.654
Stay (I Missed You),66,Lisa Loeb,ectofolk;lilith;new wave pop;pop rock;singer-songwriter,0.612,0.591
No Excuses,66,Alice In Chains,alternative metal;alternative rock;grunge;hard rock;nu metal;rock,0.527,0.838
Ven Devórame Otra Vez,71,Lalo Rodriguez,salsa;salsa puertorriquena,0.643,0.602
Who Shot Ya? - 2005 Remaster,69,The Notorious B.I.G.,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.831,0.682
I Wanna Be Down,66,Brandy,contemporary r&b;dance pop;hip pop;r&b;urban contemporary,0.703,0.469
I Alone,66,Live,grunge;pop rock;post-grunge,0.396,0.817
Ants Marching,64,Dave Matthews Band,jam band;neo mellow;pop rock,0.637,0.856
No Me Queda Más,70,Selena,mexican pop;tejano,0.472,0.322
Hey Mr. D.J.,65,Zhané,contemporary r&b;r&b,0.865,0.557
Here Comes the Hotstepper - Heartical Mix,70,Ini Kamoze;Salaam Remi,reggae;reggae fusion;roots reggae,0.889,0.454
Pass The Dutchie,70,Musical Youth,uk reggae,0.805,0.418
I Swear,72,All-4-One,boy band;contemporary r&b;r&b,0.532,0.407
I'm Broken,69,Pantera,alternative metal;groove metal;hard rock;metal;nu metal;old school thrash;rock;texas metal,0.419,0.878
All I Want for Christmas Is You,72,Mariah Carey,dance pop;pop;urban contemporary,0.336,0.627
Vasoline - 2019 Remaster,66,Stone Temple Pilots,alternative metal;alternative rock;classic rock;grunge;hard rock;nu metal;post-grunge;rock,0.295,0.977
All Over You,65,Live,grunge;pop rock;post-grunge,0.32,0.835
I Stay Away,64,Alice In Chains,alternative metal;alternative rock;grunge;hard rock;nu metal;rock,0.174,0.781
La Mesa Del Rincón,71,Los Tigres Del Norte,musica mexicana;norteno;ranchera,0.808,0.529
Hold My Hand,65,Hootie & The Blowfish,heartland rock;pop rock;post-grunge,0.22,0.769
"Baby, I Love Your Way",72,Big Mountain;Tom Lord-Alge,reggae;reggae fusion,0.651,0.747
Check Yo Self - Remix,73,Ice Cube;Das EFX,conscious hip hop;g funk;gangster rap;hip hop;rap;west coast rap,0.934,0.735
Let Her Cry,66,Hootie & The Blowfish,heartland rock;pop rock;post-grunge,0.352,0.698
Mary Jane (All Night Long),65,Mary J. Blige,dance pop;neo soul;r&b;urban contemporary,0.784,0.298
Gimme the Loot - 2005 Remaster,69,The Notorious B.I.G.,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.721,0.662
Possum Kingdom,65,Toadies,alternative rock;grunge;pop rock;post-grunge,0.643,0.726
Suicidal Thoughts - 2005 Remaster,68,The Notorious B.I.G.,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.604,0.501
Ahí Estaré Yo,71,Los Temerarios,grupera;musica mexicana;ranchera,0.667,0.337
At Your Best (You Are Love),66,Aaliyah,contemporary r&b;dance pop;hip pop;r&b;urban contemporary,0.626,0.441
Glory Box,73,Portishead,alternative rock;art pop;dark pop;electronica;laboratorio;trip hop,0.51,0.434
Be My Baby Tonight,62,John Michael Montgomery,contemporary country;country;country road,0.632,0.773
If I Could Make a Living,65,Clay Walker,contemporary country;country;country road,0.593,0.775
Hallelujah,71,Jeff Buckley,melancholia;permanent wave;singer-songwriter,0.324,0.136
"Clair de Lune, L. 32",68,Claude Debussy;Martin Jones,classical;impressionism;post-romantic era,0.335,0.00532
Where Did You Sleep Last Night,69,Nirvana,grunge;permanent wave;rock,0.573,0.59
You Wreck Me,63,Tom Petty,album rock;classic rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,0.479,0.89
Longview,68,Green Day,modern rock;permanent wave;punk;rock,0.381,0.732
I Swear,65,John Michael Montgomery,contemporary country;country;country road,0.628,0.496
Lake Of Fire,70,Nirvana,grunge;permanent wave;rock,0.541,0.618
It Ain't Hard to Tell,70,Nas,conscious hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;queens hip hop;rap,0.69,0.729
Down On The Farm,62,Tim McGraw,contemporary country;country;country road,0.721,0.735
Mass Appeal,65,Gang Starr,alternative hip hop;conscious hip hop;east coast hip hop;hardcore hip hop;hip hop,0.808,0.726
She,69,Green Day,modern rock;permanent wave;punk;rock,0.37,0.937
I'll Make Love To You,64,Boyz II Men,boy band;contemporary r&b;new jack swing;r&b;urban contemporary,0.567,0.501
Don't Take The Girl,64,Tim McGraw,contemporary country;country;country road,0.439,0.454
I'll Stand by You,74,Pretenders,album rock;classic rock;mellow gold;new romantic;new wave;new wave pop;permanent wave;rock;soft rock,0.438,0.606
Better Man,69,Pearl Jam,alternative metal;alternative rock;classic rock;grunge;permanent wave;rock,0.445,0.671
La Media Vuelta,81,Luis Miguel,bolero;latin pop,0.631,0.683
Pickup Man,63,Joe Diffie,classic oklahoma country;contemporary country;country;country road,0.713,0.692
La Niña Fresa,66,Banda Zeta,banda;grupera;musica nayarita;tecnobanda,0.871,0.798
I Second That Emotion,65,Smokey Robinson & The Miracles,classic soul;motown;quiet storm;soul,0.711,0.663
Flute Loop - Remastered 2009,63,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.8,0.788
"Circle of Life - From ""The Lion King"" Soundtrack",65,Carmen Twillie;Lebo M.,movie tunes,0.402,0.391
You Gotta Be,68,Des'ree,europop;new wave pop,0.623,0.669
My Name Is Jonas,63,Weezer,alternative rock;modern power pop;modern rock;permanent wave;rock,0.295,0.94
Violet,65,Hole,alternative rock;grunge;riot grrrl,0.287,0.78
Seis Pies Abajo,67,Banda El Recodo,banda;banda sinaloense;musica mexicana;norteno,0.606,0.402
Baraja de Oro,67,Chalino Sanchez,banda;corrido;corridos clasicos;musica mexicana;norteno;sierreno,0.424,0.589
Player's Ball,62,Outkast,atl hip hop;dirty south rap;hip hop;old school atlanta hip hop;rap;southern hip hop,0.857,0.764
The Keeper Of The Stars,59,Tracy Byrd,contemporary country;country;country road,0.583,0.276
Big Empty - 2019 Remaster,61,Stone Temple Pilots,alternative metal;alternative rock;classic rock;grunge;hard rock;nu metal;post-grunge;rock,0.336,0.62
Shoots and Ladders,62,Korn,alternative metal;funk metal;hard rock;nu metal;post-grunge;rap metal;rock,0.277,0.744
Represent,66,Nas,conscious hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;queens hip hop;rap,0.708,0.832
Gotta Get Away,64,The Offspring,alternative metal;permanent wave;post-grunge;punk;rock;skate punk;socal pop punk,0.568,0.826
I'm Goin' Down,60,Mary J. Blige,dance pop;neo soul;r&b;urban contemporary,0.572,0.324
Livin' On Love,58,Alan Jackson,country,0.724,0.55
Warning - 2005 Remaster,63,The Notorious B.I.G.,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.596,0.791
Time To Move On,60,Tom Petty,album rock;classic rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,0.613,0.716
Turn The Page - Live,60,Bob Seger,album rock;classic rock;country rock;detroit rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,0.528,0.362
Go Rest High On That Mountain,60,Vince Gill,classic oklahoma country;country;country road,0.325,0.143
Gone Country,61,Alan Jackson,country,0.673,0.679
Afuera,76,Caifanes,latin alternative;latin pop;latin rock;mexican rock;nu-cumbia;rock en espanol;rock urbano mexicano,0.487,0.553
Sure Shot,63,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.692,0.799
Party Crowd,61,David Lee Murphy,contemporary country;country;country road,0.758,0.655
Age Ain't Nothing But a Number,64,Aaliyah,contemporary r&b;dance pop;hip pop;r&b;urban contemporary,0.589,0.532
No Tears,62,Scarface,conscious hip hop;dirty south rap;gangster rap;hardcore hip hop,0.88,0.818
Back & Forth,63,Aaliyah,contemporary r&b;dance pop;hip pop;r&b;urban contemporary,0.706,0.727
Just a Friend,61,Biz Markie,east coast hip hop;golden age hip hop;old school hip hop,0.862,0.663
"Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version",64,Joseph Williams;Sally Dworsky;Nathan Lane;Ernie Sabella;Kristle Edwards,movie tunes,0.306,0.132
Bring The Pain,63,Method Man,east coast hip hop;hardcore hip hop;hip hop,0.835,0.456
Time,59,Hootie & The Blowfish,heartland rock;pop rock;post-grunge,0.387,0.875
Rotten Apple,62,Alice In Chains,alternative metal;alternative rock;grunge;hard rock;nu metal;rock,0.31,0.637
Paradise,68,Sade,british soul;sophisti-pop,0.738,0.792
Como Tú,68,Los Temerarios,grupera;musica mexicana;ranchera,0.54,0.383
La Gota Fria,70,Carlos Vives,colombian pop;latin pop;vallenato,0.718,0.809
Janie's Got A Gun,64,Aerosmith,album rock;classic rock;hard rock;rock,0.633,0.823
I Go Blind - 2019 Remaster,60,Hootie & The Blowfish,heartland rock;pop rock;post-grunge,0.623,0.775
The End of the World,66,Skeeter Davis,nashville sound,0.232,0.216
Carta Abierta,66,Los Tigres Del Norte,musica mexicana;norteno;ranchera,0.773,0.502
Just the Two of Us (feat. Bill Withers),67,"Grover Washington, Jr.;Bill Withers",soul jazz,0.793,0.386
La Quebradora,64,Banda El Recodo,banda;banda sinaloense;musica mexicana;norteno,0.549,0.779
Satellite,58,Dave Matthews Band,jam band;neo mellow;pop rock,0.711,0.686
Ode To My Family,73,The Cranberries,irish rock;pop rock;rock,0.365,0.443
You Ain't Much Fun,60,Toby Keith,classic oklahoma country;contemporary country;country;country road,0.771,0.675
Bad Habit,63,The Offspring,alternative metal;permanent wave;post-grunge;punk;rock;skate punk;socal pop punk,0.354,0.73
5 Minutes Alone,65,Pantera,alternative metal;groove metal;hard rock;metal;nu metal;old school thrash;rock;texas metal,0.504,0.856
"Baby, I Love Your Way",69,Big Mountain;Tom Lord-Alge,reggae;reggae fusion,0.651,0.747
What Would You Say,58,Dave Matthews Band,jam band;neo mellow;pop rock,0.639,0.942
Life's a Bitch (feat. AZ & Olu Dara),65,Nas;AZ;Olu Dara,conscious hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;queens hip hop;rap,0.775,0.734
Always,78,Bon Jovi,glam metal;rock,0.383,0.659
Corazón Culpable,62,Anthony Santos,bachata;bachata dominicana,0.709,0.561
Y Es Que La Quiero,62,Ladron,banda;grupera;gruperas inmortales;grupero romantico;musica mexicana;norteno,0.677,0.522
La Cheyene del Año,62,Banda El Recodo,banda;banda sinaloense;musica mexicana;norteno,0.618,0.407
Hurt,58,Nine Inch Nails,alternative metal;alternative rock;cyberpunk;electronic rock;industrial;industrial metal;industrial rock;nu metal;post-grunge;rock,0.49,0.158
Thinkin' Problem,57,David Ball,classic country pop;country;country road,0.765,0.573
Fantastic Voyage,60,Coolio,g funk;gangster rap;hip hop;west coast rap,0.888,0.584
Be Happy,58,Mary J. Blige,dance pop;neo soul;r&b;urban contemporary,0.682,0.739
Backwater,59,Meat Puppets,alternative rock;cowpunk;grunge,0.495,0.84
Feel the Pain,60,Dinosaur Jr.,alternative rock;lo-fi;noise pop;noise rock;permanent wave;power pop,0.34,0.804
The Lion Sleeps Tonight (Wimoweh),64,The Tokens,doo-wop;sunshine pop,0.321,0.474
"Be Prepared - From ""The Lion King"" / Soundtrack Version",61,Jeremy Irons;Whoopi Goldberg;Cheech Marin;Jim Cummings,movie tunes,0.699,0.417
La Noche Que Murio Chicago,68,Banda Toro,banda;tecnobanda,0.935,0.767
About A Girl,66,Nirvana,grunge;permanent wave;rock,0.606,0.769
#3,65,Aphex Twin,ambient;braindance;electronica;intelligent dance music;uk experimental electronic,0.159,0.071
Sending My Love,58,Zhané,contemporary r&b;r&b,0.712,0.516
Linoleum,64,NOFX,punk;skate punk;socal pop punk,0.18,0.934
Burnout,63,Green Day,modern rock;permanent wave;punk;rock,0.5,0.921
On Bended Knee,58,Boyz II Men,boy band;contemporary r&b;new jack swing;r&b;urban contemporary,0.631,0.516
So Real,62,Jeff Buckley,melancholia;permanent wave;singer-songwriter,0.469,0.625
Soulshine,58,Allman Brothers Band,album rock;blues rock;classic rock;country rock;folk rock;hard rock;heartland rock;jam band;mellow gold;rock;singer-songwriter;soft rock;southern rock,0.476,0.556
All Night Long,56,Mary Jane Girls,classic soul;disco;freestyle;funk;motown;new jack swing;p funk;post-disco;quiet storm;soul;urban contemporary,0.796,0.431
"Flava in Ya Ear Remix (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage)",60,Craig Mack;Busta Rhymes;LL COOL J;Rampage;The Notorious B.I.G.,gangster rap;hardcore hip hop;hip hop,0.52,0.847
Wink,58,Neal McCoy,country;country road,0.708,0.852
Whenever You Come Around,58,Vince Gill,classic oklahoma country;country;country road,0.719,0.22
El Sinaloense y el Kora,62,Banda El Recodo,banda;banda sinaloense;musica mexicana;norteno,0.374,0.441
Black No. 1 (Little Miss Scare -All),63,Type O Negative,alternative metal;gothic metal;industrial metal;industrial rock;metal;nu metal,0.348,0.7
Spill the Wine,58,War,classic soul;funk;motown;soul,0.818,0.475
Seether,56,Veruca Salt,alternative pop;alternative rock;grunge;lilith;riot grrrl,0.612,0.848
Faget,61,Korn,alternative metal;funk metal;hard rock;nu metal;post-grunge;rap metal;rock,0.49,0.844
Tequila,63,The Champs,surf music,0.671,0.742
Before I Let You Go,59,Blackstreet,boy band;contemporary r&b;new jack swing;r&b;urban contemporary,0.67,0.468
All Apologies,66,Sinéad O'Connor,lilith;new wave pop;singer-songwriter,0.743,0.0262
The Day I Tried To Live,60,Soundgarden,alternative metal;alternative rock;classic rock;grunge;hard rock;nu metal;rock,0.472,0.752
Casi Te Envidio,66,Andy Montañez,salsa;salsa puertorriquena,0.67,0.567
Hang on to Your Love,66,Sade,british soul;sophisti-pop,0.846,0.703
"You Don't Love Me (No, No, No) - Extended Mix",67,Dawn Penn,,0.811,0.428
La ingrata,71,Café Tacvba,latin alternative;latin pop;latin rock;mexican rock;rock en espanol,0.748,0.835
Selling The Drama,59,Live,grunge;pop rock;post-grunge,0.451,0.907
Love Will Keep Us Alive,68,Eagles,album rock;classic rock;heartland rock;mellow gold;rock;soft rock;yacht rock,0.658,0.374
Doll Parts,62,Hole,alternative rock;grunge;riot grrrl,0.245,0.542
Y Volveré - Remastered 1994,68,Los Angeles Negros,chilean rock;nueva ola chilena;ranchera,0.586,0.258
Vivir Lo Nuestro,58,LA INDIA;Marc Anthony,latin pop;salsa;salsa puertorriquena;tropical,0.636,0.672
Best Friend,59,Brandy,contemporary r&b;dance pop;hip pop;r&b;urban contemporary,0.696,0.49
Don't Follow,59,Alice In Chains,alternative metal;alternative rock;grunge;hard rock;nu metal;rock,0.314,0.37
Goodbye Says It All,56,BlackHawk,country;country road,0.646,0.479
A Tout Le Monde - Remastered 2004,69,Megadeth,alternative metal;hard rock;melodic thrash;metal;nu metal;old school thrash;rock;speed metal;thrash metal,0.272,0.747
Machine Gun Funk - 2005 Remaster,63,The Notorious B.I.G.,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.841,0.738
My Life,58,Mary J. Blige,dance pop;neo soul;r&b;urban contemporary,0.522,0.641
Two Dozen Roses,58,Shenandoah,contemporary country;country;country road,0.695,0.502
Te Vas Con El - Poema,64,Grupo Bryndis,banda;grupera;gruperas inmortales;grupero romantico;musica mexicana;norteno,0.467,0.56
Mi Alma Reclama,64,Los Temerarios,grupera;musica mexicana;ranchera,0.57,0.351
"16 Waltzes, Op. 39: No. 15 In A Flat Major",64,Johannes Brahms;Idil Biret,classical;german romanticism;late romantic era,0.387,0.00906
Water Runs Dry,55,Boyz II Men,boy band;contemporary r&b;new jack swing;r&b;urban contemporary,0.589,0.368
Becoming,60,Pantera,alternative metal;groove metal;hard rock;metal;nu metal;old school thrash;rock;texas metal,0.578,0.896
Come As You Are,67,Nirvana,grunge;permanent wave;rock,0.683,0.766
Wild Night,57,John Mellencamp;Meshell Ndegeocello,album rock;classic rock;country rock;folk rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,0.665,0.888
Live Forever - Remastered,68,Oasis,beatlesque;britpop;madchester;permanent wave;rock,0.286,0.822
Greatest-Hits,56,Sublime,rap rock;reggae fusion;ska mexicano;ska punk,0.601,0.652
Halftime,62,Nas,conscious hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;queens hip hop;rap,0.766,0.793
Todo Me Recuerda a Ti,63,Los Temerarios,grupera;musica mexicana;ranchera,0.515,0.438
The What - 2005 Remaster,60,The Notorious B.I.G.;Method Man,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.622,0.714
Cornflake Girl,64,Tori Amos,dark pop;ectofolk;lilith;melancholia;new wave pop;permanent wave;piano rock;singer-songwriter,0.631,0.638
Plowed,56,Sponge,grunge;pop rock;post-grunge,0.412,0.88
Grace,63,Jeff Buckley,melancholia;permanent wave;singer-songwriter,0.546,0.867
Las piedras rodantes,69,El Tri,latin alternative;latin rock;mexican rock;rock en espanol;rock urbano mexicano,0.556,0.393
Forget Her,61,Jeff Buckley,melancholia;permanent wave;singer-songwriter,0.441,0.563
Lovely Day,64,Bill Withers,funk;quiet storm;soul,0.694,0.565
Black Hole Sun,57,Soundgarden,alternative metal;alternative rock;classic rock;grunge;hard rock;nu metal;rock,0.35,0.828
Landslide - Remastered,60,The Smashing Pumpkins,alternative metal;alternative rock;grunge;permanent wave;rock;spacegrunge,0.422,0.208
Baby Likes To Rock It,56,The Tractors,classic country pop;country rock,0.573,0.946
No Doubt About It,56,Neal McCoy,country;country road,0.621,0.469
Red Right Hand - 2011 Remastered Version,65,Nick Cave & The Bad Seeds,alternative rock;permanent wave;singer-songwriter,0.735,0.403
Only In Dreams,58,Weezer,alternative rock;modern power pop;modern rock;permanent wave;rock,0.507,0.535
Lean on Me,58,Bill Withers,funk;quiet storm;soul,0.614,0.235
Diggin' On You,58,TLC,atl hip hop;contemporary r&b;dance pop;girl group;hip pop;r&b;urban contemporary,0.719,0.631
March Of The Pigs,55,Nine Inch Nails,alternative metal;alternative rock;cyberpunk;electronic rock;industrial;industrial metal;industrial rock;nu metal;post-grunge;rock,0.511,0.867
Boogie Shoes,56,KC & The Sunshine Band,disco;mellow gold;new wave pop;soft rock;soul,0.93,0.767
Sour Times,65,Portishead,alternative rock;art pop;dark pop;electronica;laboratorio;trip hop,0.698,0.633
La Cura,65,Frankie Ruiz,salsa;salsa puertorriquena;tropical,0.808,0.513
Enamorada y Herida,68,Marisela,latin pop;ranchera,0.468,0.34
When You Say Nothing At All,57,Alison Krauss & Union Station,progressive bluegrass,0.509,0.242
Tootsee Roll (Dance Version),55,69 Boyz,miami bass,0.869,0.725
Red Light Special,57,TLC,atl hip hop;contemporary r&b;dance pop;girl group;hip pop;r&b;urban contemporary,0.52,0.449
Cut Your Hair,59,Pavement,alternative rock;chamber pop;indie rock;lo-fi;shoegaze,0.472,0.735
Juicy - 2005 Remaster,61,The Notorious B.I.G.,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.902,0.756
Vamonos de Fiesta,61,Banda El Recodo,banda;banda sinaloense;musica mexicana;norteno,0.601,0.775
Fotos Y Recuerdos,63,Selena,mexican pop;tejano,0.515,0.522
Hot Potato,64,The Wiggles,australian children's music;children's music,0.669,0.737
Clown,60,Korn,alternative metal;funk metal;hard rock;nu metal;post-grunge;rap metal;rock,0.458,0.787
Medicina De Amor,60,Raulin Rodriguez,bachata;bachata dominicana,0.662,0.461
Livin' On The Edge,63,Aerosmith,album rock;classic rock;hard rock;rock,0.341,0.862
Memory Lane (Sittin' in da Park),60,Nas,conscious hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;queens hip hop;rap,0.648,0.841
Aquél Viejo Motel,62,David Pabon,salsa,0.667,0.828
Last Goodbye,62,Jeff Buckley,melancholia;permanent wave;singer-songwriter,0.539,0.827
Plateau,62,Nirvana,grunge;permanent wave;rock,0.45,0.501
Oh Me,63,Nirvana,grunge;permanent wave;rock,0.538,0.51
Unglued - 2019 Remaster,58,Stone Temple Pilots,alternative metal;alternative rock;classic rock;grunge;hard rock;nu metal;post-grunge;rock,0.441,0.985
Clean My Wounds,57,Corrosion Of Conformity,alternative metal;groove metal;industrial metal;north carolina metal;nu metal;old school thrash;sludge metal;stoner metal;stoner rock,0.544,0.917
I Try to Think About Elvis,56,Patty Loveless,country;country dawn;country road;kentucky roots,0.62,0.697
Candy Rain - Heavy D & TrakMasterz Mix,55,Soul For Real;Heavy D,boy band;contemporary r&b;new jack swing;r&b,0.787,0.585
Creiste,58,Los Tigres Del Norte,musica mexicana;norteno;ranchera,0.775,0.457
Loser,70,Beck,alternative rock;anti-folk;permanent wave;rock,0.615,0.616
Jennifer's Body,58,Hole,alternative rock;grunge;riot grrrl,0.401,0.863
Tyler,55,Toadies,alternative rock;grunge;pop rock;post-grunge,0.349,0.781
"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix",67,Reel 2 Real;The Mad Stuntman;Erick Morillo,eurodance;hip house,0.863,0.781
"What’s The Frequency, Kenneth? - Remastered",60,R.E.M.,alternative rock;athens indie;permanent wave;rock,0.369,0.948
In Circles - Remastered,55,Sunny Day Real Estate,emo;midwest emo;post-hardcore,0.323,0.825
Miroirs: III. Une barque sur l'océan,58,Maurice Ravel;André Laplante,classical;impressionism;neoclassicism;post-romantic era,0.17,0.0479
Pour Out A Little Liquor,57,Thug Life,gangster rap,0.705,0.71
Saw Red,53,Sublime;Gwen Stefani,rap rock;reggae fusion;ska mexicano;ska punk,0.527,0.842
"Snap Your Fingers, Snap Your Neck",58,Prong,alternative metal;groove metal;industrial metal;nu metal;old school thrash;southern metal,0.668,0.788
Happy Days Are Here Again - Silver Album Version,55,Starflyer 59,american shoegaze;dream pop;nu gaze;shoegaze;spacegrunge,0.212,0.554
Endless Love (with Mariah Carey),66,Luther Vandross;Mariah Carey,quiet storm;soul,0.231,0.477
"This Land - From ""The Lion King""/Score",63,Hans Zimmer;Lebo M.,german soundtrack;orchestral soundtrack;soundtrack,0.145,0.174
Summertime Blues,54,Alan Jackson,country,0.604,0.807
All Apologies,61,Nirvana,grunge;permanent wave;rock,0.569,0.579
Los Dos Plebes,60,Los Tigres Del Norte,musica mexicana;norteno;ranchera,0.891,0.648
The Best of What's Around,53,Dave Matthews Band,jam band;neo mellow;pop rock,0.491,0.937
Love In An Elevator - Single Version,58,Aerosmith,album rock;classic rock;hard rock;rock,0.449,0.961
It's Only A Paper Moon,60,Ella Fitzgerald;The Delta Rhythm Boys,adult standards;jazz;jazz blues;soul;swing;vocal jazz,0.761,0.103
I'd Rather Be with You,56,Bootsy Collins,funk;p funk;quiet storm;soul,0.477,0.566
Supersonic - Remastered,65,Oasis,beatlesque;britpop;madchester;permanent wave;rock,0.359,0.913
The World Has Turned And Left Me Here,56,Weezer,alternative rock;modern power pop;modern rock;permanent wave;rock,0.455,0.918
Techno Cumbia,58,Selena,mexican pop;tejano,0.661,0.619
Ball Tongue,59,Korn,alternative metal;funk metal;hard rock;nu metal;post-grunge;rap metal;rock,0.55,0.877
What Do You Want from Me,60,Pink Floyd,album rock;art rock;classic rock;progressive rock;psychedelic rock;rock;symphonic rock,0.515,0.565
Daddy Never Was the Cadillac Kind,53,Confederate Railroad,country;country road;country rock;southern rock,0.586,0.517
Get It Together,57,Beastie Boys;Q-Tip,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.854,0.649
Christian Woman,59,Type O Negative,alternative metal;gothic metal;industrial metal;industrial rock;metal;nu metal,0.285,0.619
Bananaphone,56,Raffi,canadian children's music;children's folk;children's music,0.73,0.61
Flava in Ya Ear,57,Craig Mack,gangster rap;hardcore hip hop;hip hop,0.763,0.541
Now And Forever,69,Richard Marx,new wave pop;soft rock,0.441,0.258
Sin Ti Moriría,62,Los Temerarios,grupera;musica mexicana;ranchera,0.556,0.427
Everyday Struggle - 2005 Remaster,59,The Notorious B.I.G.,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.913,0.712
That's The Way Love Goes,55,Norman Brown,smooth jazz,0.631,0.635
Bidi Bidi Bom Bom - 1994 Version,61,Selena,mexican pop;tejano,0.58,0.527
What It Takes,59,Aerosmith,album rock;classic rock;hard rock;rock,0.522,0.738
Ready to Die - 2005 Remaster,59,The Notorious B.I.G.,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.727,0.831
Roads,65,Portishead,alternative rock;art pop;dark pop;electronica;laboratorio;trip hop,0.607,0.294
It's Good To Be King,54,Tom Petty,album rock;classic rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,0.523,0.622
Third Rock from the Sun,53,Joe Diffie,classic oklahoma country;contemporary country;country;country road,0.696,0.759
Just Playing (Dreams) - 2005 Remaster,60,The Notorious B.I.G.,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.773,0.668
Texas Tornado,54,Tracy Lawrence,arkansas country;contemporary country;country;country road,0.641,0.429
Nothing Can Come Between Us,63,Sade,british soul;sophisti-pop,0.74,0.684
Apiádate de Mi,63,Víctor Manuelle,latin pop;modern salsa;salsa;salsa peruana;salsa puertorriquena;tropical,0.735,0.629
Historia De Un Amor,70,Luis Miguel,bolero;latin pop,0.438,0.71
Playaz Club,56,Rappin' 4-Tay,g funk,0.868,0.372
Tú Lo Decidiste,64,Ana Gabriel,latin pop;mariachi;ranchera,0.644,0.234
Mi Problema,66,Marisela,latin pop;ranchera,0.668,0.325
Funkdafied,56,Da Brat,chicago rap;contemporary r&b;dirty south rap;hip pop;new jack swing;r&b;urban contemporary,0.802,0.461
Dreaming Of You,69,Selena,mexican pop;tejano,0.553,0.458
Shimmy Shimmy Ya,70,Ol' Dirty Bastard,east coast hip hop;hardcore hip hop;hip hop,0.814,0.481
Ironic - 2015 Remaster,75,Alanis Morissette,canadian pop;canadian singer-songwriter;lilith;neo mellow;pop rock;singer-songwriter,0.408,0.582
High and Dry,78,Radiohead,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0.419,0.383
Just A Girl,75,No Doubt,dance pop;dance rock;permanent wave;pop rock;rock,0.638,0.906
Alright,76,Supergrass,alternative rock;britpop;oxford indie,0.467,0.958
Candy Rain,70,Soul For Real,boy band;contemporary r&b;new jack swing;r&b,0.59,0.699
Name,69,The Goo Goo Dolls,neo mellow;permanent wave;pop rock;post-grunge,0.464,0.701
Desvelado,78,Bobby Pulido,banda;grupera;musica mexicana;norteno;tejano,0.676,0.618
Tha Crossroads,71,Bone Thugs-N-Harmony,gangster rap;hardcore hip hop;hip hop;ohio hip hop;rap,0.679,0.509
This Is How We Do It,69,Montell Jordan;Wino,contemporary r&b;new jack swing;r&b;urban contemporary,0.799,0.623
Mis Tres Animales,69,Los Tucanes De Tijuana,banda;corrido;musica bajacaliforniana;musica mexicana;norteno,0.877,0.688
